image,nom,prenom,email,genre,telephone,matricule,action,id_promotion
img1.png,Sène,Ndeye Amy,ndeyeam@gmail.com,F,777777777,p6_devweb_2024_129,,6
img1.png,Diop,Seydina Mouhammad,mouhaleecr7@gmail.com,M,777777777,p6_devdat_2024_130,,6
img1.png,Diop,Pape,djiby@gmail.com,M,777120777,p6_devdat_2024_131,,6
img1.png,Niang,Djiby,amira@gmail.com,M,777347977,p5_devdat_2024_132,,6
img1.png,Thiam,Aïcha,ngomhawa@gmail.com,M,777729777,p5_devdat_2024_133,,6
img1.png,Thiam,Aïcha,djiby@gmail.com,M,777120777,p5_devdat_2024_133,,6
img1.png,Ndiaye,Mdou,djiby@gmail.com,M,777120777,p6_devdat_2024_173,,6
img1.png,Gning,Seynabou,mouhaleecr7@gmail.com,M,777777777,p11_devdat_2024_126,,6
img1.png,Ndiaye,Mdou,djiby@gmail.com,M,777120777,p6_devdat_2024_173,,6
img1.png,Ndiaye,Mdou,modoundiaye@gmail.com,M,777777777,p6_devdat_2024_173,,6
img1.png,Thiam,Aïcha,amira@gmail.com,M,777347977,p5_devdat_2024_138,,5
img1.png,Thiam,Aïcha,papediop@gmail.com,M,777729777,p5_devdat_2024_193,,5
img1.png,Thiam,Aïcha,ndeyeam@gmail.com,F,777777777,p4_devdat_2024_135,,4
img1.png,Ndiaye,Modou,mouhaleecr7@gmail.com,M,777777777,p4_devdat_2024_113,,4
img1.png,Gning,Omar,djiby@gmail.com,M,777120777,p4_devdat_2024_134,,4
img1.png,Diop,Modou,djiby@gmail.com,M,777120777,p4_devdat_2024_183,,4
img1.png,Fall,Amy,ngomhawa@gmail.com,M,777729777,p4_devdat_2024_173,,4
img1.png,Diagne,Issa,djiby@gmail.com,M,777120777,p4_devdat_2024_193,,4
img1.png,Fall,Amy,amira@gmail.com,M,777347977,p4_devdat_2024_173,,4
img1.png,Ndour,Awa,amira@gmail.com,M,777347977,p3_devdat_2024_125,,3
img1.png,Ndour,Awa,amira@gmail.com,M,777347977,p3_devdat_2024_125,,3
img1.png,Ndour,Awa,djiby@gmail.com,M,777120777,p3_devdat_2024_125,,3
img1.png,Diouf,Aliou,papediop@gmail.com,F,777729777,p2_devdat_2024_823,,2
img1.png,Thiare,Marie,ndeyeam@gmail.com,M,777777777,p2_devdat_2024_193,,2
img1.png,Diouf,Aliou,ngomhawa@gmail.com,M,777729777,p2_devdat_2024_823,,2
img1.png,Diouf,Aliou,amira@gmail.com,M,777347977,p2_devdat_2024_823,,2
img1.png,Dieng,Assane,amira@gmail.com,M,777347977,p4_devdat_2024_123,,1
img1.png,Diagne,Issa,amira@gmail.com,M,777347977,p4_devdat_2024_193,,1
img1.png,Thiare,Marie,djiby@gmail.com,M,777120777,p11_devdat_2024_193,,1
img1.png,Gning,Seynabou,amira@gmail.com,F,777347977,p11_devdat_2024_126,,1
img1.png,Diagne,Issa,papediop@gmail.com,M,777729777,p4_devdat_2024_193,,1
img1.png,Fall,Amy,ndeyeam@gmail.com,M,777777777,p4_devdat_2024_173,,1
img1.png,Thiare,Marie,djiby@gmail.com,M,777120777,p11_devdat_2024_193,,1
img1.png,Gning,Seynabou,amira@gmail.com,M,777347977,p11_devdat_2024_126,,1
