id,matricule,nom,prenom,telephone,referenciel,duree,status,id_promotion,id_referentiel
1,p6_devweb_2024_129,Sène,Ndeye Amy,771443470,dev_web,05:30,present,6,
1,p6_devweb_2024_26,Ba,Hadiyatou,771443470,dev_web,05:30,present,6,
2,p6_devdat_2024_130,Diop,Seydina,778765432,data,07:15,present,6,
3,p6_devdat_2024_131,Diop,Pape,776543210,dev_web,06:00,absent,6,
4,p5_devdat_2024_132,Niang,Djiby,770987654,data,05:45,present,5,
5,p5_devdat_2024_133,Thiam,Aïcha,779876543,data,06:30,absent,5,
6,p5_devdat_2024_133,Thiam,Aïcha,779876543,dev_web,06:30,absent,5,
7,p5_devdat_2024_138,Thiam,Aïcha,779876543,aws,06:30,present,5,
8,p5_devdat_2024_193,Thiam,Aïcha,779876543,aws,06:30,absent,5,
9,p4_devdat_2024_135,Thiam,Aïcha,779876543,hack,06:30,present,4,
10,p4_devdat_2024_113,Ndiaye,Modou,779876543,data,06:30,present,4,
11,p4_devdat_2024_134,Gning,Omar,779876543,hack,06:30,absent,4,
12,p1_devdat_2024_123,Dieng,Assane,779876543,data,06:30,absent,1,
13,p4_devdat_2024_183,Diop,Modou,779876543,data,06:30,absent,4,
14,p1_devdat_2024_193,Diagne,Issa,779876543,data,06:30,present,1,
15,p4_devdat_2024_173,Fall,Amy,779876543,data,08:30,absent,4,
16,p6_devdat_2024_173,Ndiaye,Mdou,779876543,data,08:30,absent,6,
17,p3_devdat_2024_125,Ndour,Awa,779876543,data,06:30,absent,3,
18,p2_devdat_2024_823,Diouf,Aliou,779876543,data,06:30,present,2,
19,p2_devdat_2024_193,Thiare,Marie,779876543,data,08:30,absent,2,
20,p6_devdat_2024_126,Gning,Seynabou,779876543,data,06:30,present,6,
21,p4_devdat_2024_193,Diagne,Issa,779876543,data,06:30,present,4,
22,p4_devdat_2024_173,Fall,Amy,779876543,data,08:30,absent,4,
23,p6_devdat_2024_173,Ndiaye,Mdou,779876543,data,08:30,absent,6,
24,p3_devdat_2024_125,Ndour,Awa,779876543,data,06:30,absent,3,
25,p2_devdat_2024_823,Diouf,Aliou,779876543,data,06:30,present,2,
26,p1_devdat_2024_193,Thiare,Marie,779876543,data,08:30,absent,1,
27,p1_devdat_2024_126,Gning,Seynabou,779876543,data,06:30,present,1,
28,p4_devdat_2024_193,Diagne,Issa,779876543,data,06:30,present,1,
29,p4_devdat_2024_173,Fall,Amy,779876543,data,08:30,absent,1,
30,p6_devdat_2024_173,Ndiaye,Mdou,779876543,data,08:30,absent,6,
31,p3_devdat_2024_125,Ndour,Awa,779876543,data,06:30,absent,3,
32,p2_devdat_2024_823,Diouf,Aliou,779876543,data,06:30,present,2,
33,p1_devdat_2024_193,Thiare,Marie,779876543,data,08:30,absent,1,
34,p1_devdat_2024_126,Gning,Seynabou,779876543,data,06:30,present,1,
100,p6_devweb_2024_129,Sène,Ndeye Amy,771443470,dev_web,05:30,present,6,
202,p6_devdat_2024_130,Diop,Seydina,778765432,data,07:15,present,6,
312,p6_devdat_2024_131,Diop,Pape,776543210,dev_web,06:00,absent,6,
113,p6_devweb_2024_129,Sène,Ndeye Amy,771443470,dev_web,05:30,present,6,
231,p6_devdat_2024_130,Diop,Seydina,778765432,data,07:15,present,6,
342,p6_devdat_2024_131,Diop,Pape,776543210,dev_web,06:00,absent,6,
142,p6_devweb_2024_129,Sène,Ndeye Amy,771443470,dev_web,05:30,present,6,
242,p6_devdat_2024_130,Diop,Seydina,778765432,data,07:15,present,6,
334,p6_devdat_2024_131,Diop,Pape,776543210,dev_web,06:00,absent,6,
